,index,Object,X1,Y1,X2,Y2,MidX,MidY,Z1,Z2,,,,,
66,68,1,865151.709,1439693.016,865160.305,1439756.934,865156.0069,1439724.974,-8630.158203,-8565.552734,64.49301467,32.24556036,32.24745431,-0.001893958,MID66
67,69,1,865160.8806,1439691.488,865169.5572,1439755.985,865165.2186,1439723.735,-8630.158203,-8565.552734,65.07805006,32.5371976,32.54085245,-0.003654849,MID67
68,70,1,865169.7703,1439689.785,865179.0841,1439755.008,865174.4304,1439722.419,-8630.158203,-8564.416016,65.8848598,32.96529384,32.91956596,0.045727889,MID68
69,71,1,865176.9993,1439688.273,865190.3148,1439752.915,865183.6422,1439720.522,-8633.911133,-8564.416016,65.9999759,32.9263672,33.0736087,-0.147241499,MID69
70,72,1,865184.7344,1439686.654,865200.9729,1439749.637,865192.854,1439718.147,-8633.911133,-8564.416016,65.04258812,32.52258722,32.5200009,0.002586321,MID70
71,73,1,865194.0546,1439684.704,865210.0763,1439746.837,865202.0657,1439715.771,-8633.911133,-8564.416016,64.16535212,32.08370629,32.08164583,0.002060466,MID71
72,74,1,865203.378,1439682.753,865219.1764,1439744.038,865211.2775,1439713.397,-8633.911133,-8564.416016,63.28813191,31.645344,31.64278791,0.002556089,MID72
73,75,1,865212.6982,1439680.803,865228.2797,1439741.238,865220.4893,1439711.022,-8633.911133,-8565.711914,62.41090377,31.20679956,31.20410421,0.002695342,MID73
74,76,1,865222.0194,1439678.853,865237.3819,1439738.438,865229.701,1439708.647,-8633.911133,-8565.711914,61.53367567,30.76820471,30.76547096,0.002733749,MID74
75,77,1,865231.3407,1439676.903,865246.4842,1439735.638,865238.9128,1439706.272,-8638.253906,-8565.711914,60.6564476,30.32961043,30.32683717,0.00277326,MID75
76,78,1,865240.6573,1439674.953,865255.5918,1439732.837,865248.1246,1439703.895,-8638.253906,-8565.711914,59.77918133,29.88959235,29.88958898,3.36636E-06,MID76
77,79,1,865249.9866,1439673.001,865264.6858,1439730.04,865257.3363,1439701.521,-8638.253906,-8578.822266,58.90197765,29.4516704,29.45030725,0.001363149,MID77
78,80,1,865259.3017,1439671.052,865273.7945,1439727.238,865266.5481,1439699.145,-8638.253906,-8578.822266,58.02472406,29.01229121,29.01243286,-0.00014165,MID78
79,81,1,865268.6307,1439669.1,865282.8884,1439724.441,865275.7599,1439696.772,-8638.253906,-8578.822266,57.14753631,28.57500842,28.5725279,0.00248052,MID79
80,82,1,865277.9471,1439667.151,865291.9955,1439721.639,865284.9717,1439694.397,-8638.253906,-8578.822266,56.27030742,28.13664839,28.13365903,0.002989362,MID80
81,83,1,865287.2683,1439665.201,865301.0978,1439718.84,865294.1834,1439692.022,-8638.253906,-8578.822266,55.39307944,27.69805806,27.69502138,0.00303668,MID81
82,84,1,865296.5896,1439663.25,865310.2,1439716.04,865303.3952,1439689.647,-8674.358398,-8578.822266,54.51585146,27.25946848,27.25638298,0.003085508,MID82
83,85,1,865305.9109,1439661.3,865319.3023,1439713.24,865312.607,1439687.272,-8674.358398,-8578.822266,53.63862352,26.82087974,26.81774378,0.003135954,MID83
84,86,1,865315.2322,1439659.35,865328.4045,1439710.44,865321.8187,1439684.897,-8674.358398,-8570.084961,52.76139559,26.38229183,26.37910376,0.003188074,MID84
85,87,1,865324.5456,1439657.401,865337.5161,1439707.638,865331.0305,1439682.518,-8674.358398,-8570.084961,51.88409335,25.9408259,25.94326745,-0.002441543,MID85
86,88,1,865333.8832,1439655.447,865346.6007,1439704.843,865340.2423,1439680.147,-8678.816406,-8570.084961,51.00694279,25.50471843,25.50222436,0.002494065,MID86
87,89,1,865343.196,1439653.499,865355.7113,1439702.041,865349.4541,1439677.772,-8678.816406,-8570.084961,50.12971193,25.06653364,25.06317829,0.003355341,MID87
88,90,1,865352.5172,1439651.548,865364.8136,1439699.241,865358.6658,1439675.397,-8678.816406,-8570.084961,49.25248409,24.62794958,24.62453451,0.003415073,MID88
89,91,1,865361.8385,1439649.598,865373.9158,1439696.442,865367.8776,1439673.022,-8678.816406,-8570.084961,48.37525628,24.18936663,24.18588965,0.003476973,MID89
90,92,1,865371.1556,1439647.649,865383.023,1439693.64,865377.0894,1439670.645,-8678.816406,-8571.96875,47.49798462,23.7490964,23.74888823,0.000208171,MID90
91,93,1,865380.1933,1439645.758,865392.4584,1439690.683,865386.3011,1439668.13,-8661.157227,-8571.96875,46.56930906,23.19070108,23.37860798,-0.187906893,MID91
92,94,1,865388.7744,1439643.962,865402.2502,1439686.45,865395.5129,1439665.208,-8661.157227,-8571.96875,44.57355733,22.28869522,22.28486211,0.003833115,MID92
93,95,1,865396.3988,1439641.031,865413.0184,1439681.795,865404.7247,1439661.452,-8661.157227,-8592.650391,44.02198177,22.0535532,21.96842857,0.085124631,MID93
94,96,1,865404.3994,1439636.918,865423.4713,1439677.276,865413.9364,1439657.099,-8661.157227,-8592.650391,44.63821808,22.32160586,22.31661222,0.004993646,MID94
95,97,1,865413.4656,1439632.256,865432.8287,1439673.231,865423.1482,1439652.746,-8661.157227,-8592.650391,45.31955036,22.66223448,22.65731588,0.0049186,MID95
96,98,1,865422.5319,1439627.595,865442.186,1439669.186,865432.36,1439648.393,-8661.157227,-8592.650391,46.0008826,23.00286418,22.99801842,0.004845758,MID96
97,99,1,865431.5981,1439622.934,865451.5434,1439665.141,865441.5718,1439644.04,-8661.157227,-8592.650391,46.68221481,23.34349493,23.33871988,0.004775058,MID97
98,100,1,865440.6644,1439618.273,865460.9007,1439661.096,865450.7835,1439639.687,-8661.157227,-8592.650391,47.36354699,23.68412669,23.6794203,0.004706384,MID98
99,101,1,865449.7266,1439613.614,865470.2642,1439657.048,865459.9953,1439635.331,-8679.097656,-8592.650391,48.04495572,24.02222915,24.02272657,-0.000497418,MID99
